Match,Result,Tournament,Round,RallyLen,Rally_Length_Efficiency,Serve_Return_Rally_Balance,Short_Rally_Control,Long_Rally_Endurance,Rally_Progression_Score,Forehand_Dominance,Backhand_Versatility,Forehand_Power_Index,Backhand_Power_Index,Power_Balance_Index,Rally_Adaptability,Match_Control_Metric,Tactical_Intelligence,Court_Coverage_Efficiency
2025 Montreal R16,L vsTauson,Montreal,R16,3.1,0.538,0.959,0.418,0.75,0.529,0.543,0.886,0.893,0.693,0.882,0.607,0.498,0.672,0.592
2025 Wimbledon F,W vsAnisimova,Wimbledon,F,3.6,0.487,0.988,0.686,1.0,0.684,0.504,0.95,0.556,0.546,0.261,0.342,0.969,0.573,0.553
2025 Wimbledon SF,W vsBencic,Wimbledon,SF,3.4,0.507,0.974,0.691,1.0,0.652,0.575,0.98,0.607,0.469,0.98,0.406,0.972,0.629,0.567
2025 Wimbledon QF,W vsSamsonova,Wimbledon,QF,3.9,0.458,0.932,0.603,0.625,0.546,0.608,0.988,1.193,0.809,0.595,0.737,0.703,0.774,0.523
2025 Wimbledon R16,W vsTauson,Wimbledon,R16,3.4,0.507,0.769,0.574,0.857,0.591,0.542,0.926,0.534,0.476,0.923,0.262,0.823,0.545,0.574
2025 Wimbledon R32,W vsCollins,Wimbledon,R32,3.1,0.538,0.986,0.559,0.667,0.638,0.555,0.965,0.618,0.524,0.667,0.722,0.703,0.745,0.592
2025 Wimbledon R64,W vsMcnally,Wimbledon,R64,4.0,0.449,0.978,0.529,0.571,0.569,0.64,0.947,1.909,1.048,0.688,0.84,0.63,0.812,0.513
2025 Wimbledon R128,W vsKudermetova,Wimbledon,R128,3.0,0.549,0.971,0.632,0.0,0.436,0.386,0.971,0.4,0.652,0.286,0.373,0.353,0.556,0.607
2025 Bad Homburg F,L vsPegula,Other,F,3.2,0.527,0.946,0.455,0.5,0.509,0.584,0.948,1.0,0.725,0.882,0.789,0.404,0.775,0.587
2025 Bad Homburg SF,W vsPaolini,Other,SF,3.3,0.517,0.947,0.625,0.333,0.631,0.648,0.956,0.787,0.419,0.552,0.475,0.544,0.671,0.577
2025 Bad Homburg QF,W vsAlexandrova,Other,QF,3.3,0.517,0.96,0.515,0.429,0.508,0.561,0.954,0.952,0.0,0.0,0.784,0.539,0.768,0.582
2025 Bad Homburg R16,W vsAzarenka,Other,R16,3.3,0.517,0.883,0.56,0.5,0.512,0.491,0.938,0.686,0.722,0.765,0.564,0.606,0.654,0.574
2025 Roland Garros SF,L vsSabalenka,Roland,SF,3.1,0.538,0.889,0.364,0.667,0.55,0.493,0.952,0.873,0.909,0.308,0.557,0.439,0.656,0.598
2025 Roland Garros QF,W vsSvitolina,Roland,QF,4.3,0.423,0.979,0.544,0.5,0.547,0.558,0.972,1.25,1.012,0.872,0.881,0.597,0.811,0.488
2025 Roland Garros R16,W vsRybakina,Roland,R16,3.6,0.487,0.938,0.527,0.556,0.51,0.461,0.928,1.074,1.25,0.897,0.679,0.62,0.688,0.554
2025 Roland Garros R32,W vsCristian,Roland,R32,4.2,0.432,0.947,0.541,0.818,0.624,0.551,0.991,1.266,1.058,0.314,0.612,0.782,0.707,0.493
2025 Roland Garros R64,W vsRaducanu,Roland,R64,4.2,0.432,0.957,0.6,0.714,0.636,0.473,0.99,0.838,0.921,0.609,0.838,0.754,0.774,0.497
2025 Roland Garros R128,W vsSramkova,Roland,R128,3.7,0.477,0.916,0.536,0.6,0.581,0.481,0.979,0.855,0.897,0.298,0.768,0.651,0.745,0.545
2025 Madrid SF,L vsGauff,Madrid,SF,3.3,0.517,0.921,0.354,0.0,0.25,0.564,0.932,0.561,0.417,0.25,0.471,0.146,0.637,0.578
2025 Madrid R32,W vsNoskova,Madrid,R32,3.3,0.517,0.907,0.545,0.5,0.592,0.429,0.944,0.474,0.677,0.667,0.63,0.598,0.664,0.583
2025 Madrid R64,W vsEala,Madrid,R64,3.0,0.549,0.914,0.533,0.667,0.583,0.546,0.981,1.19,0.974,0.6,0.765,0.689,0.764,0.607
2025 Stuttgart QF,L vsOstapenko,Other,QF,2.7,0.583,0.952,0.46,0.2,0.442,0.497,0.923,0.657,0.698,0.632,0.577,0.277,0.657,0.643
2025 Miami QF,L vsEala,Miami,QF,3.2,0.527,0.932,0.47,0.5,0.437,0.514,0.977,0.714,0.814,0.25,0.816,0.411,0.774,0.592
2025 Miami R16,W vsSvitolina,Miami,R16,4.6,0.399,0.97,0.506,0.294,0.542,0.659,0.962,1.909,0.986,0.667,0.539,0.455,0.702,0.469
2025 Miami R32,W vsMertens,Miami,R32,3.9,0.458,0.966,0.532,0.583,0.571,0.396,0.978,0.795,1.306,0.389,0.859,0.639,0.756,0.527
2025 Miami R64,W vsGarcia,Miami,R64,3.2,0.527,0.904,0.561,1.0,0.697,0.441,0.944,0.668,0.793,0.825,0.504,0.9,0.617,0.593
2025 Indian Wells SF,L vsAndreeva,Indian,SF,3.9,0.458,1.0,0.453,0.556,0.556,0.468,0.919,1.26,1.0,0.062,0.748,0.428,0.715,0.522
2025 Indian Wells QF,W vsZheng,Indian,QF,4.4,0.415,0.99,0.547,0.727,0.595,0.491,0.982,1.01,1.042,0.385,0.668,0.732,0.709,0.476
2025 Indian Wells R16,W vsMuchova,Indian,R16,3.5,0.497,0.84,0.646,0.667,0.678,0.5,0.944,0.508,0.469,1.0,0.719,0.752,0.721,0.557
2025 Indian Wells R32,W vsYastremska,Indian,R32,3.3,0.517,0.974,0.678,0.333,0.518,0.333,1.0,0.396,0.806,0.769,0.428,0.574,0.571,0.577
2025 Indian Wells R64,W vsGarcia,Indian,R64,3.2,0.527,0.946,0.614,0.333,0.613,0.339,0.987,0.378,0.737,0.667,0.512,0.538,0.603,0.587
2025 Dubai QF,L vsAndreeva,Dubai,QF,3.4,0.507,0.923,0.403,0.0,0.331,0.472,0.989,0.714,1.0,0.667,0.474,0.166,0.628,0.568
2025 Doha SF,L vsOstapenko,Doha,SF,2.6,0.595,1.0,0.389,0.5,0.358,0.624,0.969,0.556,0.294,0.667,0.456,0.377,0.66,0.648
2025 Doha QF,W vsRybakina,Doha,QF,3.8,0.468,0.943,0.487,0.5,0.601,0.49,0.97,0.873,0.924,0.489,0.613,0.565,0.683,0.527
2025 Doha R32,W vsSakkari,Doha,R32,4.6,0.399,0.961,0.596,0.727,0.594,0.498,0.961,0.921,0.959,1.0,0.552,0.759,0.658,0.465
2025 Australian Open SF,L vsKeys,Open,SF,3.7,0.477,0.976,0.433,0.667,0.521,0.53,0.939,1.554,1.29,0.516,0.711,0.468,0.725,0.54
2025 Australian Open QF,W vsNavarro,Open,QF,5.8,0.313,0.928,0.537,0.667,0.609,0.488,0.987,1.333,1.429,0.914,0.808,0.691,0.766,0.385
2025 Australian Open R16,W vsLys,Open,R16,4.0,0.449,0.795,0.702,0.667,0.639,0.592,0.967,0.833,0.566,0.8,0.471,0.783,0.656,0.528
2025 Australian Open R32,W vsRaducanu,Open,R32,4.3,0.423,0.903,0.66,0.667,0.673,0.426,1.0,0.677,0.903,0.949,0.848,0.76,0.767,0.502
2025 Australian Open R64,W vsSramkova,Open,R64,4.5,0.407,0.94,0.528,0.889,0.716,0.556,0.969,0.795,0.6,0.353,0.551,0.816,0.678,0.473
2025 Australian Open R128,W vsSiniakova,Open,R128,3.9,0.458,0.886,0.552,0.4,0.557,0.492,0.989,0.816,0.865,0.562,0.683,0.543,0.718,0.524
2025 United Cup F,L vsGauff,Cup,F,3.9,0.458,0.897,0.507,0.6,0.457,0.594,0.951,1.154,0.735,0.909,0.658,0.469,0.727,0.528
2025 United Cup SF,W vsRybakina,Cup,SF,4.0,0.449,0.989,0.478,0.556,0.547,0.483,0.957,1.167,1.19,0.303,0.834,0.593,0.766,0.518
2025 United Cup QF,W vsBoulter,Cup,QF,4.1,0.44,0.925,0.544,0.625,0.55,0.442,0.98,1.4,1.842,1.0,0.832,0.67,0.759,0.502
2025 United Cup RR,W vsMuchova,Cup,Other,3.7,0.477,0.976,0.482,0.833,0.605,0.615,0.962,1.184,0.714,0.615,0.593,0.758,0.71,0.54
2025 United Cup RR,W vsHelgo,Cup,Other,2.8,0.571,0.939,0.632,1.0,0.725,0.505,0.979,0.459,0.448,0.776,0.365,0.939,0.591,0.627
