Player,Year,Avg_Rally_Length,Matches,Rally_Length_Efficiency,Serve_Return_Rally_Balance,Short_Rally_Control,Long_Rally_Endurance,Rally_Progression_Score,Forehand_Dominance,Backhand_Versatility,Forehand_Power_Index,Backhand_Power_Index,Power_Balance_Index,Rally_Adaptability,Match_Control_Metric,Tactical_Intelligence,Court_Coverage_Efficiency
Amanda Anisimova,2017,3.95,2,0.455,0.961,0.485,0.572,0.526,0.47,0.962,1.071,1.346,0.539,0.742,0.523,0.726,0.521
Amanda Anisimova,2018,3.333,3,0.513,0.965,0.476,0.367,0.43,0.463,0.928,0.747,0.749,0.379,0.669,0.408,0.685,0.574
Amanda Anisimova,2019,3.517,18,0.498,0.937,0.504,0.611,0.539,0.518,0.907,0.974,0.887,0.684,0.643,0.582,0.685,0.56
Amanda Anisimova,2020,3.78,5,0.471,0.978,0.414,0.277,0.443,0.496,0.929,1.095,1.099,0.631,0.611,0.349,0.672,0.534
Amanda Anisimova,2021,3.15,2,0.533,0.951,0.442,0.614,0.516,0.494,0.946,0.949,0.625,0.321,0.592,0.449,0.669,0.594
Amanda Anisimova,2022,3.1,13,0.539,0.951,0.487,0.59,0.515,0.522,0.932,0.886,0.79,0.638,0.595,0.557,0.674,0.599
Amanda Anisimova,2023,3.22,5,0.527,0.953,0.436,0.558,0.494,0.534,0.937,0.786,0.673,0.341,0.671,0.468,0.71,0.587
Amanda Anisimova,2024,3.038,8,0.545,0.943,0.491,0.452,0.498,0.54,0.922,0.864,0.716,0.688,0.606,0.47,0.681,0.606
Amanda Anisimova,2025,3.339,18,0.515,0.95,0.497,0.484,0.526,0.523,0.923,0.89,0.809,0.756,0.627,0.539,0.684,0.575
Aryna Sabalenka,2016,3.2,2,0.527,0.91,0.446,0.734,0.576,0.442,0.908,0.678,0.828,0.569,0.551,0.599,0.625,0.59
Aryna Sabalenka,2017,2.96,20,0.554,0.956,0.501,0.545,0.527,0.499,0.94,0.772,0.749,0.719,0.528,0.541,0.643,0.612
Aryna Sabalenka,2018,3.179,62,0.532,0.942,0.511,0.523,0.512,0.509,0.909,0.915,0.84,0.616,0.641,0.543,0.682,0.591
Aryna Sabalenka,2019,3.32,60,0.517,0.926,0.526,0.538,0.525,0.509,0.909,0.862,0.842,0.587,0.625,0.554,0.675,0.578
Aryna Sabalenka,2020,3.605,38,0.49,0.933,0.528,0.581,0.545,0.496,0.887,0.977,0.948,0.619,0.625,0.594,0.665,0.552
Aryna Sabalenka,2021,3.069,62,0.542,0.92,0.528,0.553,0.547,0.503,0.866,0.771,0.725,0.639,0.598,0.58,0.65,0.602
Aryna Sabalenka,2022,3.167,55,0.533,0.925,0.494,0.552,0.53,0.498,0.874,0.847,0.791,0.623,0.609,0.545,0.655,0.591
Aryna Sabalenka,2023,3.181,68,0.531,0.929,0.539,0.577,0.564,0.505,0.881,0.772,0.725,0.631,0.612,0.609,0.661,0.591
Aryna Sabalenka,2024,3.297,69,0.519,0.942,0.542,0.519,0.546,0.514,0.868,0.832,0.74,0.601,0.601,0.581,0.655,0.58
Aryna Sabalenka,2025,3.355,33,0.513,0.948,0.531,0.546,0.532,0.496,0.823,0.794,0.756,0.596,0.573,0.582,0.625,0.575
Clara Tauson,2019,4.45,2,0.411,0.962,0.548,0.46,0.506,0.528,0.823,1.63,1.096,0.447,0.818,0.505,0.732,0.477
Clara Tauson,2020,4.3,1,0.423,0.905,0.504,0.696,0.5,0.57,0.908,2.176,1.574,0.63,0.613,0.69,0.689,0.494
Clara Tauson,2021,3.883,6,0.464,0.962,0.521,0.54,0.528,0.525,0.838,0.89,0.805,0.67,0.682,0.569,0.681,0.527
Clara Tauson,2022,3.675,8,0.48,0.919,0.541,0.579,0.527,0.489,0.883,0.972,0.931,0.471,0.66,0.594,0.676,0.543
Clara Tauson,2023,4.72,5,0.394,0.947,0.554,0.383,0.521,0.464,0.775,1.302,0.818,0.353,0.689,0.507,0.647,0.461
Clara Tauson,2024,3.3,6,0.518,0.955,0.486,0.519,0.479,0.437,0.746,0.749,0.578,0.374,0.703,0.49,0.636,0.579
Clara Tauson,2025,3.4,20,0.508,0.932,0.514,0.466,0.486,0.504,0.737,0.768,0.649,0.573,0.612,0.507,0.617,0.571
Coco Gauff,2019,4.458,12,0.412,0.924,0.486,0.519,0.514,0.534,0.849,1.219,0.901,0.565,0.687,0.547,0.69,0.48
Coco Gauff,2020,3.762,8,0.473,0.941,0.473,0.433,0.486,0.505,0.883,1.128,1.091,0.395,0.649,0.443,0.676,0.536
Coco Gauff,2021,3.783,12,0.472,0.936,0.515,0.621,0.53,0.506,0.922,0.899,0.899,0.744,0.659,0.58,0.692,0.536
Coco Gauff,2022,4.135,23,0.442,0.927,0.495,0.512,0.489,0.547,0.918,1.119,0.88,0.527,0.682,0.503,0.712,0.507
Coco Gauff,2023,4.306,36,0.426,0.923,0.55,0.527,0.52,0.58,0.935,1.349,0.907,0.574,0.699,0.584,0.734,0.492
Coco Gauff,2024,4.117,36,0.442,0.915,0.543,0.517,0.531,0.575,0.943,1.368,1.011,0.61,0.732,0.549,0.748,0.507
Coco Gauff,2025,4.156,27,0.44,0.922,0.522,0.51,0.543,0.577,0.931,1.227,0.883,0.671,0.643,0.549,0.71,0.506
Ekaterina Alexandrova,2016,3.2,2,0.528,0.962,0.484,0.546,0.504,0.376,0.964,0.833,1.449,0.443,0.779,0.525,0.713,0.583
Ekaterina Alexandrova,2017,3.05,2,0.546,0.937,0.485,0.266,0.448,0.445,0.93,0.48,0.627,0.843,0.604,0.427,0.654,0.601
Ekaterina Alexandrova,2018,3.4,4,0.507,0.894,0.499,0.625,0.537,0.522,0.966,0.791,0.827,0.692,0.699,0.577,0.726,0.571
Ekaterina Alexandrova,2019,3.806,18,0.471,0.921,0.515,0.514,0.517,0.464,0.933,1.062,1.163,0.699,0.712,0.513,0.704,0.535
Ekaterina Alexandrova,2020,3.4,6,0.51,0.929,0.516,0.37,0.486,0.566,0.95,1.18,0.843,0.673,0.587,0.455,0.69,0.574
Ekaterina Alexandrova,2021,3.6,5,0.489,0.954,0.477,0.65,0.538,0.52,0.944,1.205,1.188,0.627,0.625,0.563,0.689,0.55
Ekaterina Alexandrova,2022,3.475,8,0.501,0.941,0.513,0.561,0.486,0.496,0.939,1.031,0.894,0.505,0.575,0.542,0.66,0.562
Ekaterina Alexandrova,2023,3.83,10,0.468,0.935,0.459,0.601,0.526,0.488,0.963,1.267,1.34,0.502,0.7,0.537,0.715,0.531
Ekaterina Alexandrova,2024,3.136,14,0.536,0.955,0.466,0.591,0.507,0.469,0.964,0.89,1.045,0.579,0.605,0.525,0.672,0.594
Ekaterina Alexandrova,2025,3.608,12,0.489,0.939,0.531,0.63,0.552,0.468,0.936,0.885,0.921,0.573,0.621,0.597,0.67,0.552
Elena Rybakina,2018,3.7,1,0.477,0.884,0.443,0.333,0.443,0.547,0.9,1.25,1.25,0.2,0.601,0.327,0.674,0.533
Elena Rybakina,2019,3.318,11,0.516,0.965,0.493,0.584,0.533,0.515,0.917,0.921,0.793,0.688,0.615,0.564,0.676,0.577
Elena Rybakina,2020,3.825,16,0.471,0.956,0.494,0.576,0.49,0.513,0.893,1.397,1.109,0.637,0.699,0.535,0.702,0.534
Elena Rybakina,2021,3.567,12,0.493,0.944,0.503,0.555,0.495,0.559,0.932,1.4,1.028,0.542,0.689,0.485,0.723,0.555
Elena Rybakina,2022,3.516,19,0.499,0.923,0.549,0.527,0.539,0.533,0.928,1.05,0.782,0.659,0.676,0.582,0.709,0.562
Elena Rybakina,2023,3.426,35,0.508,0.938,0.562,0.491,0.517,0.517,0.948,0.974,0.847,0.62,0.648,0.581,0.699,0.569
Elena Rybakina,2024,3.547,34,0.494,0.933,0.557,0.585,0.542,0.521,0.939,1.032,0.855,0.551,0.659,0.611,0.702,0.557
Elena Rybakina,2025,3.374,27,0.511,0.932,0.554,0.549,0.529,0.522,0.941,0.959,0.824,0.451,0.665,0.573,0.705,0.573
Elina Svitolina,2013,3.6,1,0.487,0.795,0.314,0.571,0.411,0.433,0.947,0.533,0.714,0.476,0.688,0.377,0.689,0.55
Elina Svitolina,2014,4.085,13,0.445,0.952,0.468,0.457,0.492,0.535,0.912,1.153,0.958,0.603,0.722,0.452,0.723,0.509
Elina Svitolina,2015,4.784,19,0.391,0.958,0.511,0.426,0.49,0.493,0.916,1.242,1.355,0.595,0.685,0.498,0.696,0.456
Elina Svitolina,2016,5.189,9,0.363,0.925,0.519,0.524,0.493,0.511,0.911,1.504,1.061,0.563,0.734,0.539,0.72,0.429
Elina Svitolina,2017,4.616,25,0.405,0.963,0.557,0.515,0.531,0.507,0.901,1.324,1.253,0.656,0.733,0.581,0.715,0.47
Elina Svitolina,2018,4.574,27,0.41,0.931,0.543,0.488,0.514,0.521,0.93,1.293,1.235,0.561,0.715,0.549,0.721,0.475
Elina Svitolina,2019,4.734,44,0.393,0.934,0.531,0.484,0.509,0.514,0.897,1.399,1.283,0.492,0.721,0.535,0.712,0.459
Elina Svitolina,2020,4.75,10,0.393,0.911,0.533,0.556,0.503,0.544,0.915,1.205,1.142,0.571,0.678,0.576,0.709,0.463
Elina Svitolina,2021,4.477,30,0.411,0.953,0.534,0.49,0.511,0.517,0.904,1.264,1.139,0.591,0.724,0.535,0.716,0.478
Elina Svitolina,2022,4.1,3,0.442,0.969,0.495,0.441,0.491,0.564,0.868,1.254,0.88,0.625,0.755,0.454,0.732,0.505
Elina Svitolina,2023,4.309,11,0.429,0.936,0.53,0.513,0.508,0.537,0.926,1.255,1.062,0.505,0.747,0.562,0.738,0.493
Elina Svitolina,2024,4.156,18,0.439,0.956,0.497,0.507,0.499,0.511,0.932,1.106,0.958,0.553,0.682,0.512,0.706,0.505
Elina Svitolina,2025,4.088,16,0.446,0.954,0.502,0.533,0.509,0.537,0.915,1.113,1.237,0.545,0.693,0.534,0.713,0.509
Emma Navarro,2021,6.3,1,0.284,0.956,0.48,0.31,0.43,0.528,0.824,1.562,1.324,0.435,0.766,0.332,0.712,0.35
Emma Navarro,2022,4.95,2,0.38,0.966,0.418,0.425,0.451,0.579,0.784,1.922,1.157,0.642,0.826,0.42,0.739,0.445
Emma Navarro,2023,3.871,7,0.465,0.941,0.505,0.502,0.524,0.48,0.851,0.73,0.822,0.563,0.688,0.534,0.674,0.53
Emma Navarro,2024,4.368,28,0.423,0.929,0.497,0.515,0.506,0.538,0.832,1.344,1.03,0.523,0.708,0.516,0.694,0.491
Emma Navarro,2025,4.77,10,0.392,0.92,0.483,0.51,0.516,0.514,0.843,1.15,0.883,0.563,0.716,0.507,0.693,0.457
Iga Swiatek,2018,3.3,2,0.517,0.913,0.538,0.75,0.639,0.538,0.844,0.777,0.59,0.645,0.66,0.732,0.679,0.581
Iga Swiatek,2019,3.2,13,0.53,0.966,0.473,0.471,0.474,0.516,0.885,0.869,0.766,0.641,0.626,0.442,0.671,0.588
Iga Swiatek,2020,4.192,13,0.435,0.949,0.54,0.624,0.58,0.513,0.9,1.026,0.952,0.754,0.645,0.633,0.682,0.5
Iga Swiatek,2021,3.751,37,0.477,0.941,0.535,0.606,0.55,0.516,0.91,0.881,0.865,0.587,0.655,0.608,0.69,0.54
Iga Swiatek,2022,3.993,76,0.454,0.946,0.565,0.581,0.579,0.507,0.963,1.015,0.998,0.583,0.649,0.637,0.701,0.517
Iga Swiatek,2023,3.923,78,0.46,0.935,0.587,0.592,0.591,0.515,0.963,0.923,0.851,0.661,0.633,0.656,0.697,0.523
Iga Swiatek,2024,3.946,71,0.458,0.939,0.564,0.612,0.58,0.501,0.964,0.97,0.967,0.653,0.659,0.653,0.703,0.522
Iga Swiatek,2025,3.659,46,0.484,0.937,0.539,0.581,0.561,0.514,0.962,0.897,0.818,0.619,0.629,0.61,0.694,0.548
Jasmine Paolini,2016,4.7,2,0.391,0.898,0.482,0.536,0.502,0.542,0.962,1.706,1.424,0.626,0.744,0.504,0.749,0.457
Jasmine Paolini,2019,3.95,2,0.458,0.954,0.44,0.416,0.455,0.538,0.905,1.164,0.923,0.432,0.614,0.362,0.678,0.521
Jasmine Paolini,2020,4.425,4,0.418,0.934,0.5,0.37,0.46,0.524,0.946,1.213,0.989,0.411,0.604,0.401,0.683,0.486
Jasmine Paolini,2021,4.6,8,0.403,0.94,0.532,0.554,0.513,0.555,0.939,1.403,1.128,0.721,0.72,0.57,0.736,0.467
Jasmine Paolini,2022,4.06,5,0.448,0.911,0.472,0.682,0.503,0.563,0.914,1.34,1.041,0.579,0.554,0.555,0.665,0.513
Jasmine Paolini,2023,4.333,6,0.424,0.946,0.459,0.325,0.44,0.508,0.947,1.21,0.928,0.624,0.668,0.355,0.704,0.489
Jasmine Paolini,2024,4.121,39,0.442,0.95,0.5,0.473,0.517,0.53,0.923,1.244,1.077,0.556,0.684,0.507,0.71,0.509
Jasmine Paolini,2025,3.9,17,0.461,0.96,0.504,0.585,0.525,0.553,0.901,0.985,0.754,0.505,0.597,0.557,0.675,0.524
Jessica Pegula,2015,3.7,2,0.478,0.952,0.494,0.75,0.551,0.464,0.912,1.579,1.307,0.371,0.632,0.631,0.666,0.541
Jessica Pegula,2016,3.4,1,0.507,0.974,0.44,0.5,0.455,0.555,0.926,0.965,0.739,0.917,0.59,0.398,0.68,0.567
Jessica Pegula,2018,3.5,2,0.499,0.957,0.507,0.7,0.517,0.537,0.8,1.091,0.836,0.768,0.585,0.629,0.635,0.56
Jessica Pegula,2019,3.52,5,0.497,0.953,0.525,0.48,0.526,0.492,0.837,0.894,0.663,0.637,0.707,0.52,0.682,0.558
Jessica Pegula,2020,4.16,5,0.438,0.929,0.49,0.417,0.448,0.506,0.807,1.064,0.894,0.863,0.772,0.475,0.703,0.501
Jessica Pegula,2021,3.893,15,0.462,0.948,0.468,0.465,0.499,0.509,0.839,0.96,0.945,0.704,0.67,0.463,0.672,0.525
Jessica Pegula,2022,4.076,17,0.447,0.937,0.5,0.452,0.487,0.476,0.857,1.045,1.01,0.553,0.703,0.46,0.681,0.512
Jessica Pegula,2023,4.045,31,0.449,0.935,0.521,0.511,0.524,0.505,0.842,0.957,0.857,0.661,0.682,0.543,0.677,0.512
Jessica Pegula,2024,3.933,27,0.46,0.944,0.522,0.483,0.499,0.494,0.817,1.11,0.973,0.689,0.691,0.515,0.67,0.524
Jessica Pegula,2025,4.111,18,0.443,0.953,0.527,0.495,0.51,0.497,0.797,1.051,0.917,0.581,0.706,0.535,0.67,0.508
Karolina Muchova,2018,4.3,1,0.423,0.969,0.486,0.5,0.515,0.488,0.684,1.494,1.136,0.323,0.909,0.565,0.715,0.484
Karolina Muchova,2019,3.95,22,0.457,0.943,0.508,0.559,0.532,0.475,0.683,0.988,0.81,0.55,0.678,0.558,0.618,0.521
Karolina Muchova,2020,4.186,7,0.435,0.956,0.453,0.477,0.47,0.518,0.715,1.358,0.927,0.551,0.771,0.437,0.678,0.501
Karolina Muchova,2021,4.182,11,0.439,0.939,0.516,0.529,0.518,0.505,0.734,1.143,0.988,0.673,0.754,0.561,0.673,0.503
Karolina Muchova,2022,4.371,7,0.42,0.959,0.487,0.46,0.468,0.502,0.655,0.968,0.681,0.429,0.739,0.469,0.643,0.487
Karolina Muchova,2023,4.0,23,0.453,0.94,0.543,0.501,0.527,0.505,0.717,1.019,0.782,0.536,0.673,0.543,0.636,0.516
Karolina Muchova,2024,3.791,11,0.472,0.935,0.529,0.46,0.507,0.523,0.695,0.902,0.599,0.463,0.705,0.516,0.647,0.533
Karolina Muchova,2025,3.833,9,0.467,0.942,0.464,0.471,0.464,0.489,0.717,0.848,0.683,0.557,0.674,0.432,0.631,0.529
Madison Keys,2014,3.362,8,0.511,0.95,0.519,0.64,0.542,0.482,0.912,0.924,0.901,0.424,0.747,0.6,0.717,0.573
Madison Keys,2015,3.382,17,0.513,0.931,0.539,0.597,0.543,0.496,0.943,0.868,0.893,0.645,0.647,0.615,0.691,0.573
Madison Keys,2016,3.658,12,0.483,0.931,0.458,0.507,0.48,0.512,0.924,0.998,0.985,0.614,0.711,0.447,0.715,0.548
Madison Keys,2017,3.586,7,0.491,0.941,0.508,0.712,0.579,0.553,0.935,0.976,0.791,0.615,0.579,0.669,0.678,0.555
Madison Keys,2018,3.545,11,0.495,0.931,0.514,0.488,0.512,0.542,0.895,1.157,0.981,0.559,0.621,0.496,0.68,0.56
Madison Keys,2019,3.436,14,0.505,0.925,0.545,0.481,0.498,0.526,0.89,1.097,0.953,0.378,0.619,0.556,0.673,0.567
Madison Keys,2020,3.5,3,0.5,0.933,0.511,0.494,0.488,0.48,0.948,0.961,1.03,0.648,0.804,0.481,0.75,0.558
Madison Keys,2021,2.95,4,0.558,0.934,0.474,0.75,0.543,0.503,0.884,0.747,0.724,0.695,0.591,0.631,0.652,0.615
Madison Keys,2022,3.475,8,0.501,0.928,0.522,0.551,0.497,0.523,0.906,0.804,0.691,0.537,0.566,0.547,0.655,0.563
Madison Keys,2023,3.791,11,0.472,0.968,0.531,0.599,0.526,0.533,0.865,1.066,0.89,0.461,0.656,0.575,0.682,0.535
Madison Keys,2024,3.62,10,0.487,0.961,0.504,0.449,0.486,0.532,0.833,0.825,0.68,0.553,0.663,0.49,0.675,0.547
Madison Keys,2025,3.265,17,0.522,0.947,0.502,0.508,0.511,0.522,0.836,0.857,0.73,0.709,0.577,0.553,0.638,0.583
Mirra Andreeva,2022,5.6,1,0.326,0.975,0.523,0.459,0.466,0.386,0.954,1.786,3.077,0.476,0.76,0.415,0.706,0.397
Mirra Andreeva,2023,4.86,10,0.382,0.957,0.545,0.502,0.524,0.474,0.938,0.968,1.098,0.618,0.793,0.551,0.741,0.447
Mirra Andreeva,2024,4.826,23,0.389,0.943,0.508,0.562,0.517,0.481,0.912,1.203,1.321,0.662,0.731,0.55,0.71,0.455
Mirra Andreeva,2025,4.348,44,0.426,0.939,0.541,0.549,0.536,0.502,0.883,0.997,0.999,0.539,0.69,0.59,0.691,0.491
Paula Badosa,2015,3.5,1,0.497,0.9,0.446,0.0,0.306,0.432,0.928,0.583,0.769,0.727,0.479,0.184,0.6,0.559
Paula Badosa,2019,4.66,5,0.398,0.927,0.543,0.368,0.466,0.554,0.931,1.215,0.721,0.472,0.698,0.457,0.725,0.467
Paula Badosa,2020,3.88,5,0.462,0.955,0.505,0.403,0.434,0.534,0.901,1.009,0.867,0.757,0.683,0.415,0.704,0.525
Paula Badosa,2021,4.176,21,0.438,0.945,0.515,0.437,0.494,0.51,0.937,1.42,1.383,0.549,0.712,0.496,0.719,0.504
Paula Badosa,2022,4.255,20,0.432,0.926,0.511,0.405,0.469,0.526,0.914,1.201,0.98,0.511,0.687,0.481,0.707,0.498
Paula Badosa,2023,3.8,4,0.472,0.969,0.475,0.55,0.504,0.487,0.922,1.272,1.25,0.548,0.704,0.471,0.704,0.532
Paula Badosa,2024,4.088,17,0.448,0.931,0.527,0.5,0.51,0.486,0.938,1.107,1.165,0.609,0.657,0.513,0.69,0.512
Paula Badosa,2025,4.0,9,0.452,0.912,0.555,0.574,0.547,0.489,0.92,1.087,1.031,0.682,0.688,0.6,0.698,0.517
Qinwen Zheng,2021,3.2,1,0.527,0.987,0.53,0.5,0.532,0.441,0.933,0.672,0.909,0.222,0.815,0.589,0.738,0.582
Qinwen Zheng,2022,4.023,13,0.453,0.943,0.493,0.464,0.474,0.575,0.919,1.37,1.0,0.549,0.747,0.457,0.747,0.518
Qinwen Zheng,2023,3.8,18,0.473,0.913,0.485,0.58,0.522,0.54,0.934,1.095,0.937,0.441,0.649,0.549,0.702,0.537
Qinwen Zheng,2024,3.656,41,0.485,0.913,0.529,0.564,0.534,0.562,0.913,1.066,0.844,0.513,0.703,0.587,0.723,0.549
Qinwen Zheng,2025,3.9,11,0.46,0.925,0.524,0.491,0.509,0.565,0.916,1.057,0.717,0.536,0.65,0.523,0.704,0.524
Tatjana Maria,2015,4.767,3,0.387,0.886,0.633,0.478,0.573,0.509,0.166,0.576,0.137,0.223,0.709,0.634,0.486,0.463
Tatjana Maria,2017,4.825,4,0.386,0.923,0.443,0.537,0.468,0.521,0.496,1.044,0.244,0.208,0.585,0.416,0.539,0.454
Tatjana Maria,2018,4.05,6,0.448,0.925,0.542,0.457,0.484,0.442,0.256,0.418,0.209,0.594,0.552,0.494,0.43,0.512
Tatjana Maria,2019,4.75,2,0.399,0.967,0.481,0.333,0.436,0.494,0.132,0.617,0.085,0.75,0.778,0.343,0.499,0.463
Tatjana Maria,2021,5.6,1,0.326,0.783,0.625,0.406,0.503,0.46,0.163,1.198,0.256,0.16,0.725,0.434,0.477,0.409
Tatjana Maria,2022,4.371,7,0.423,0.901,0.569,0.463,0.496,0.447,0.134,0.505,0.076,0.489,0.718,0.549,0.461,0.494
Tatjana Maria,2023,4.35,6,0.42,0.915,0.493,0.276,0.405,0.45,0.195,0.441,0.128,0.638,0.683,0.371,0.466,0.484
Tatjana Maria,2024,4.4,1,0.415,0.907,0.606,0.467,0.489,0.437,0.247,0.922,0.464,0.643,0.689,0.612,0.481,0.486
Tatjana Maria,2025,4.4,3,0.421,0.944,0.578,0.223,0.432,0.417,0.129,0.13,0.05,0.317,0.596,0.377,0.402,0.479
